epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,2.070404529571533,1031.3902587890625,1029.3192138671875,1.8575719594955444,531.8643188476562,530.0067138671875
1,0.0,0.0,0.0,1.8575719594955444,532.3026123046875,530.4450073242188
2,1.604478120803833,454.4449768066406,452.8401794433594,1.492500901222229,401.85760498046875,400.3651428222656
3,0.0,0.0,0.0,1.492500901222229,401.8403015136719,400.34783935546875
4,1.4349701404571533,367.7515869140625,366.3167724609375,1.3844166994094849,351.8841552734375,350.4996337890625
5,0.0,0.0,0.0,1.3844166994094849,351.8907165527344,350.5062561035156
6,1.3632766008377075,321.39337158203125,320.0296936035156,1.3245052099227905,314.2233581542969,312.89886474609375
7,0.0,0.0,0.0,1.3245052099227905,314.2187805175781,312.894287109375
8,1.3337565660476685,292.0069274902344,290.67340087890625,1.3022149801254272,290.2858581542969,288.9836730957031
9,0.0,0.0,0.0,1.3022149801254272,290.279052734375,288.9768981933594
10,1.317088007926941,275.0049743652344,273.6876525878906,1.3049472570419312,269.9424133300781,268.637451171875
11,0.0,0.0,0.0,1.3049472570419312,269.9437561035156,268.6387939453125
12,1.3035944700241089,259.7886657714844,258.4851379394531,1.3084832429885864,264.42694091796875,263.118408203125
13,0.0,0.0,0.0,1.3084832429885864,264.423095703125,263.1145935058594
14,1.2956565618515015,249.55258178710938,248.2567901611328,1.2720441818237305,252.97537231445312,251.70330810546875
15,0.0,0.0,0.0,1.2720441818237305,252.96591186523438,251.69386291503906
16,1.287784218788147,240.4369354248047,239.14915466308594,1.2773643732070923,250.7581329345703,249.4807891845703
17,0.0,0.0,0.0,1.2773643732070923,250.75161743164062,249.47425842285156
18,1.289594054222107,238.56983947753906,237.28021240234375,1.3194173574447632,244.49391174316406,243.1744842529297
19,0.0,0.0,0.0,1.3194173574447632,244.48095703125,243.16151428222656
20,1.3048996925354004,229.4845428466797,228.17970275878906,1.3026026487350464,235.29379272460938,233.99124145507812
21,0.0,0.0,0.0,1.3026026487350464,235.30148315429688,233.99891662597656
22,1.2956427335739136,224.4825897216797,223.18687438964844,1.242882251739502,234.67616271972656,233.4332733154297
23,0.0,0.0,0.0,1.242882251739502,234.6841278076172,233.4412078857422
24,1.2891113758087158,220.16371154785156,218.87449645996094,1.2529429197311401,234.06085205078125,232.8079071044922
25,0.0,0.0,0.0,1.2529429197311401,234.0447998046875,232.79183959960938
26,1.3083091974258423,218.81668090820312,217.50836181640625,1.2821996212005615,228.25759887695312,226.97543334960938
27,0.0,0.0,0.0,1.2821996212005615,228.2563018798828,226.97412109375
28,1.2954312562942505,213.10011291503906,211.8045654296875,1.2979778051376343,226.4463348388672,225.1483612060547
29,0.0,0.0,0.0,1.2979778051376343,226.44082641601562,225.14283752441406
30,1.299226999282837,213.20709228515625,211.9077606201172,1.2824701070785522,221.35902404785156,220.0766143798828
31,0.0,0.0,0.0,1.2824701070785522,221.3539581298828,220.07154846191406
32,1.2961430549621582,209.61505126953125,208.31895446777344,1.2907187938690186,218.79299926757812,217.5023193359375
33,0.0,0.0,0.0,1.2907187938690186,218.78811645507812,217.4974365234375
34,1.2905170917510986,206.2636260986328,204.97325134277344,1.2831605672836304,216.9208526611328,215.63772583007812
35,0.0,0.0,0.0,1.2831605672836304,216.91598510742188,215.6328582763672
36,1.2840142250061035,203.28912353515625,202.00523376464844,1.2732218503952026,217.30218505859375,216.02899169921875
37,0.0,0.0,0.0,1.2732218503952026,217.29380798339844,216.02059936523438
38,1.2844988107681274,202.33583068847656,201.0511474609375,1.2835338115692139,217.13560485839844,215.8521270751953
39,0.0,0.0,0.0,1.2835338115692139,217.13584899902344,215.8523712158203
40,1.311851143836975,208.0869903564453,206.77496337890625,1.3022342920303345,216.75857543945312,215.45632934570312
41,0.0,0.0,0.0,1.3022342920303345,216.76731872558594,215.46505737304688
42,1.3037338256835938,200.1414337158203,198.8379364013672,1.280888319015503,213.01612854003906,211.73529052734375
43,0.0,0.0,0.0,1.280888319015503,213.01991271972656,211.73907470703125
44,1.2889461517333984,197.22265625,195.9338836669922,1.292075276374817,212.96963500976562,211.67758178710938
45,0.0,0.0,0.0,1.292075276374817,212.97378540039062,211.6816864013672
46,1.2916897535324097,197.6029510498047,196.31146240234375,1.2910345792770386,209.95558166503906,208.66455078125
47,0.0,0.0,0.0,1.2910345792770386,209.95005798339844,208.65904235839844
48,1.290329098701477,202.26718139648438,200.9766845703125,1.2821364402770996,210.19598388671875,208.913818359375
49,0.0,0.0,0.0,1.2821364402770996,210.19281005859375,208.91070556640625
